Year,Month,Day,Latitude,Longitude,Acres,Gcause,Scause,Agency,Flag,Ranked Acres,Ranked km2,pos,log(acres)
1985,7,1,34.5,-119.28,119361,7,19,USFS,1,119361,483.053967,1,5.076862449
2000,8,24,43.73,-103.88,83508,7,19,USFS,0,83508,337.956876,2,4.921728083
1994,8,14,35.44,-120.75,48200,7,19,USFS,0,48200,195.0654,3,4.683047038
1994,8,16,39.54,-120.31,46800,7,4,USFS,0,46800,189.3996,4,4.670245853
1985,10,14,34.43,-119.08,45710,7,19,USFS,1,45710,184.98837,5,4.660011221
1994,8,19,43.69,-115.93,30655,7,0,USFS,0,30655,124.060785,6,4.48650132
2000,7,23,46.67,-111.69,30000,7,30,USFS,0,30000,121.41,7,4.477121255
1980,11,16,33.64,-117.34,27000,7,19,USFS,1,27000,109.269,8,4.431363764
1998,5,25,30.16,-84.51,24602,7,30,USFS,0,24602,99.564294,9,4.390970414
1994,5,21,34.88,-77.11,24600,7,0,USFS,0,24600,99.5562,10,4.390935107
1970,9,25,34.49,-118.35,23790,7,19,USFS,1,23790,96.27813,11,4.376394442
1996,8,26,34.52,-118.64,22000,7,19,USFS,0,22000,89.034,12,4.342422681
1998,6,2,30.34,-82.5,20100,7,19,USFS,0,20100,81.3447,13,4.303196057
1974,8,27,33.77,-116.88,17683,7,19,USFS,1,17683,71.563101,14,4.247555947
1984,6,28,38.74,-119.79,17000,7,18,USFS,1,17000,68.799,15,4.230448921
1988,8,20,44.54,-116.32,16325.8,7,0,USFS,0,16325.8,66.0705126,16,4.212874472
1989,7,29,33.45,-116.95,15643,7,0,USFS,0,15643,63.307221,17,4.194320045
1971,10,6,34.46,-119.59,14538,7,19,USFS,1,14538,58.835286,18,4.162504665
1992,9,2,43.65,-115.96,12860,7,0,USFS,0,12860,52.04442,19,4.109240969
1989,7,28,37.13,-119.5,11680,7,0,USFS,0,11680,47.26896,20,4.067442843
1988,9,28,34.2,-117.45,10665,7,0,USFS,0,10665,43.161255,21,4.02796086
