Year,Month,Day,Latitude,Longitude,Acres,Gcause,Scause,Agency,Flag,Ranked Acres,Ranked km2
1970,9,27,33.67,-117.6,3268,8,27,USFS,1,3268,13.225596
1970,9,6,33.64,-117.34,1361,8,27,USFS,1,1361,5.507967
1970,7,7,47.65,-120.29,933,8,20,USFS,1,933,3.775851
1970,2,28,37.38,-80.16,312,8,8,USFS,0,312,1.262664
1970,5,2,38.41,-78.75,210,8,9,USFS,0,210,0.84987
1970,6,28,33.87,-116.8,180,8,27,USFS,1,180,0.72846
1970,9,14,34.29,-118.4,158,8,27,USFS,1,158,0.639426
1970,7,13,32.88,-116.85,130,8,27,USFS,1,130,0.52611
1970,4,10,36.65,-81.53,72,8,27,USFS,0,72,0.291384
1970,7,30,32.85,-116.55,70,8,27,USFS,1,70,0.28329
1970,8,2,34.26,-117.88,68,8,27,USFS,1,68,0.275196
1970,6,27,32.75,-116.45,50,8,27,USFS,1,50,0.20235
1970,8,25,33.57,-117.34,50,8,27,USFS,1,50,0.20235
1970,5,9,34.03,-109.36,48,8,27,USFS,1,48,0.194256
1970,4,10,37.78,-79.81,44,8,27,USFS,0,44,0.178068
1970,12,4,36.31,-82.41,42,8,8,USFS,0,42,0.169974
1970,12,8,37.16,-83.51,40,8,30,USFS,0,40,0.16188
1970,6,29,34.24,-118.26,25,8,26,USFS,1,25,0.101175
1970,8,2,34.13,-117.79,25,8,27,USFS,1,25,0.101175
1970,4,10,37.11,-83.45,22,8,27,USFS,0,22,0.089034
1970,10,10,34.61,-118.31,20,8,27,USFS,1,20,0.08094
1970,8,1,34.19,-114.27,20,8,27,USFS,1,20,0.08094
1970,4,5,37.28,-83.5,19,8,20,USFS,0,19,0.076893
1970,7,21,33.62,-117.42,17,8,27,USFS,1,17,0.068799
1970,7,22,31.56,-95.16,16,8,27,USFS,0,16,0.064752
1970,3,8,37.03,-83.58,14,8,24,USFS,0,14,0.056658
1970,4,12,34.7,-77.01,12,8,27,USFS,0,12,0.048564
1970,12,3,33.83,-108.95,12,8,27,USFS,1,12,0.048564
1970,2,14,33.05,-79.6,10,8,27,USFS,0,10,0.04047
1970,1,31,37.18,-83.93,9,8,27,USFS,0,9,0.036423
1970,4,21,37.83,-80.06,8,8,27,USFS,0,8,0.032376
1970,11,28,33.76,-105.7,8,8,26,USFS,1,8,0.032376
1970,2,12,34.65,-90.4,7,8,11,USFS,1,7,0.028329
1970,7,5,34.58,-85.08,7,8,27,USFS,0,7,0.028329
1970,9,13,33.61,-117.42,6,8,27,USFS,1,6,0.024282
1970,9,19,37.24,-118.58,6,8,27,USFS,1,6,0.024282
1970,5,29,39.31,-120.65,5,8,27,USFS,1,5,0.020235
1970,11,6,38.26,-83.43,4,8,27,USFS,0,4,0.016188
1970,12,2,35.25,-83.28,4,8,5,USFS,0,4,0.016188
1970,7,4,47.68,-120.23,3,8,26,USFS,1,3,0.012141
1970,7,23,34.37,-118.42,3,8,27,USFS,1,3,0.012141
1970,7,27,34.19,-117.29,3,8,27,USFS,1,3,0.012141
1970,5,13,33.43,-108.03,3,8,27,USFS,1,3,0.012141
1970,6,30,43.98,-103.47,3,8,26,USFS,1,3,0.012141
1970,8,19,46.06,-118.11,3,8,10,USFS,1,3,0.012141
1970,4,12,36.75,-84.48,2,8,27,USFS,0,2,0.008094
1970,2,27,37.53,-80.35,2,8,11,USFS,0,2,0.008094
1970,6,12,32.85,-116.69,2,8,27,USFS,1,2,0.008094
1970,10,10,37.15,-119.4,2,8,27,USFS,1,2,0.008094
1970,7,3,47.55,-115.24,2,8,26,USFS,1,2,0.008094
1970,12,5,37.15,-82.63,1,8,26,USFS,0,1,0.004047
1970,2,21,34.63,-90.26,1,8,27,USFS,1,1,0.004047
1970,7,4,34.79,-94.93,1,8,26,USFS,1,1,0.004047
1970,4,4,39.89,-120.21,1,8,27,USFS,1,1,0.004047
1970,5,31,34.24,-117.22,1,8,27,USFS,1,1,0.004047
1970,7,17,37.22,-119.5,1,8,27,USFS,1,1,0.004047
1970,7,30,40.62,-123.41,1,8,27,USFS,1,1,0.004047
1970,8,10,32.87,-116.69,1,8,27,USFS,1,1,0.004047
1970,9,7,37.98,-119.91,1,8,27,USFS,1,1,0.004047
1970,9,11,34.68,-118.44,1,8,27,USFS,1,1,0.004047
1970,10,31,34.84,-119.07,1,8,27,USFS,1,1,0.004047
1970,11,2,34.24,-117.27,1,8,27,USFS,1,1,0.004047
1970,5,23,33.64,-111.02,1,8,27,USFS,1,1,0.004047
1970,10,31,35.42,-112.03,1,8,27,USFS,1,1,0.004047
1970,1,24,37.76,-106.93,1,8,27,USFS,1,1,0.004047
1970,6,26,45.89,-112.48,1,8,26,USFS,1,1,0.004047
1970,8,30,44.02,-103.78,1,8,30,USFS,1,1,0.004047
1970,8,22,40.62,-111.79,1,8,26,USFS,1,1,0.004047
1970,7,23,39.21,-117.11,1,8,27,USFS,1,1,0.004047
1971,6,17,37.79,-109.42,152,8,27,USFS,1,152,0.615144
1971,4,8,35.14,-106.53,75,8,27,USFS,1,75,0.303525
1971,5,23,32.79,-108.14,65,8,27,USFS,1,65,0.263055
1971,8,2,34.16,-118.02,50,8,27,USFS,1,50,0.20235
1971,4,10,37.06,-84.8,46,8,27,USFS,0,46,0.186162
1971,9,29,34.2,-118.12,45,8,27,USFS,1,45,0.182115
1971,5,27,33.3,-111.09,32,8,27,USFS,1,32,0.129504
1971,8,22,42.86,-122.87,17,8,27,USFS,1,17,0.068799
1971,7,4,34.61,-112.44,15,8,26,USFS,1,15,0.060705
1971,4,25,34.78,-84.23,14,8,30,USFS,0,14,0.056658
1971,4,17,36.96,-81.51,12,8,27,USFS,0,12,0.048564
